entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif
Coalition avenir Québec,2023,104,Mégantic,2465,27,25,2,2350,115,0.07407407407407407,0.04665314401622718,2023-05-02
Coalition avenir Québec,2023,110,Saint-François,1030,13,12,1,930,100,0.07692307692307693,0.0970873786407767,2023-05-02
Coalition avenir Québec,2023,116,Sherbrooke,1180,15,13,2,1060,120,0.13333333333333333,0.1016949152542373,2023-05-02
Coalition avenir Québec,2023,120,Orford,1430,18,13,5,1175,255,0.2777777777777778,0.17832167832167833,2023-05-02
Coalition avenir Québec,2023,126,Johnson,665,10,8,2,560,105,0.2,0.15789473684210525,2023-05-02
Coalition avenir Québec,2023,132,Richmond,1410,17,16,1,1400,10,0.058823529411764705,0.0070921985815602835,2023-05-02
Coalition avenir Québec,2023,138,Drummond-Bois-Francs,700,10,10,0,700,0,0,0,2023-05-02
Coalition avenir Québec,2023,144,Arthabaska,4105,46,42,4,3855,250,0.08695652173913043,0.06090133982947625,2023-05-02
Coalition avenir Québec,2023,150,Nicolet-Bécancour,1735,20,19,1,1725,10,0.05,0.005763688760806916,2023-05-02
Coalition avenir Québec,2023,204,Brome-Missisquoi,3170,39,34,5,2720,450,0.1282051282051282,0.14195583596214512,2023-05-02
Coalition avenir Québec,2023,206,Granby,2227,29,25,4,2000,227,0.13793103448275862,0.101930848675348,2023-05-02
Coalition avenir Québec,2023,210,Iberville,2925,34,28,6,2540,385,0.17647058823529413,0.13162393162393163,2023-05-02
Coalition avenir Québec,2023,212,Saint-Jean,2475,29,22,7,1775,700,0.2413793103448276,0.2828282828282828,2023-05-02
Coalition avenir Québec,2023,216,Huntingdon,1750,19,15,4,1500,250,0.21052631578947367,0.14285714285714285,2023-05-02
Coalition avenir Québec,2023,218,Beauharnois,2572,30,22,8,2110,462,0.26666666666666666,0.1796267496111975,2023-05-02
Coalition avenir Québec,2023,220,Soulanges,1800,18,15,3,1500,300,0.16666666666666666,0.16666666666666666,2023-05-02
Coalition avenir Québec,2023,224,Vaudreuil,1075,12,10,2,1000,75,0.16666666666666666,0.06976744186046512,2023-05-02
Coalition avenir Québec,2023,226,Châteauguay,1625,21,14,7,1110,515,0.3333333333333333,0.3169230769230769,2023-05-02
Coalition avenir Québec,2023,230,Sanguinet,910,11,9,2,850,60,0.18181818181818182,0.06593406593406594,2023-05-02
Coalition avenir Québec,2023,232,La Prairie,3654,38,23,15,2175,1479,0.39473684210526316,0.40476190476190477,2023-05-02
Coalition avenir Québec,2023,236,La Pinière,1325,14,6,8,600,725,0.5714285714285714,0.5471698113207547,2023-05-02
Coalition avenir Québec,2023,238,Chambly,3135,35,25,10,2335,800,0.2857142857142857,0.2551834130781499,2023-05-02
Coalition avenir Québec,2023,240,Vachon,1975,22,14,8,1250,725,0.36363636363636365,0.3670886075949367,2023-05-02
Coalition avenir Québec,2023,244,Laporte,2475,26,17,9,1575,900,0.34615384615384615,0.36363636363636365,2023-05-02
Coalition avenir Québec,2023,246,Marie-Victorin,2570,30,21,9,1670,900,0.3,0.35019455252918286,2023-05-02
Coalition avenir Québec,2023,250,Taillon,2800,30,20,10,1800,1000,0.3333333333333333,0.35714285714285715,2023-05-02
Coalition avenir Québec,2023,252,Montarville,3685,38,28,10,2685,1000,0.2631578947368421,0.27137042062415195,2023-05-02
Coalition avenir Québec,2023,256,Verchères,3320,40,26,14,2370,950,0.35,0.286144578313253,2023-05-02
Coalition avenir Québec,2023,258,Borduas,3670,39,29,10,2805,865,0.2564102564102564,0.2356948228882834,2023-05-02
Coalition avenir Québec,2023,260,Saint-Hyacinthe,1140,13,12,1,1120,20,0.07692307692307693,0.017543859649122806,2023-05-02
Coalition avenir Québec,2023,264,Richelieu,2200,27,24,3,1975,225,0.1111111111111111,0.10227272727272728,2023-05-02
Coalition avenir Québec,2023,300,Verdun,1850,21,11,10,1025,825,0.47619047619047616,0.44594594594594594,2023-05-02
Coalition avenir Québec,2023,304,Marguerite-Bourgeoys,300,3,3,0,300,0,0,0,2023-05-02
Coalition avenir Québec,2023,306,Marquette,825,9,6,3,600,225,0.3333333333333333,0.2727272727272727,2023-05-02
Coalition avenir Québec,2023,310,Jacques-Cartier,420,5,4,1,320,100,0.2,0.23809523809523808,2023-05-02
Coalition avenir Québec,2023,312,Nelligan,255,5,5,0,255,0,0,0,2023-05-02
Coalition avenir Québec,2023,316,Robert-Baldwin,350,4,1,3,50,300,0.75,0.8571428571428571,2023-05-02
Coalition avenir Québec,2023,318,Saint-Laurent,925,10,6,4,525,400,0.4,0.43243243243243246,2023-05-02
Coalition avenir Québec,2023,320,D'Arcy-McGee,640,7,6,1,540,100,0.14285714285714285,0.15625,2023-05-02
Coalition avenir Québec,2023,324,Notre-Dame-de-Grâce,540,7,4,3,400,140,0.42857142857142855,0.25925925925925924,2023-05-02
Coalition avenir Québec,2023,326,Saint-Henri-Sainte-Anne,1725,16,12,4,1400,325,0.25,0.18840579710144928,2023-05-02
Coalition avenir Québec,2023,330,Sainte-Marie-Saint-Jacques,680,9,7,2,555,125,0.2222222222222222,0.18382352941176472,2023-05-02
Coalition avenir Québec,2023,332,Westmount-Saint-Louis,1600,16,13,3,1300,300,0.1875,0.1875,2023-05-02
Coalition avenir Québec,2023,336,Mont-Royal-Outremont,2200,22,20,2,2000,200,0.09090909090909091,0.09090909090909091,2023-05-02
Coalition avenir Québec,2023,338,Acadie,500,5,5,0,500,0,0,0,2023-05-02
Coalition avenir Québec,2023,340,Maurice-Richard,1525,16,13,3,1300,225,0.1875,0.14754098360655737,2023-05-02
Coalition avenir Québec,2023,344,Laurier-Dorion,400,4,3,1,300,100,0.25,0.25,2023-05-02
Coalition avenir Québec,2023,346,Gouin,1125,13,10,3,825,300,0.23076923076923078,0.26666666666666666,2023-05-02
Coalition avenir Québec,2023,350,Mercier,850,9,8,1,750,100,0.1111111111111111,0.11764705882352941,2023-05-02
Coalition avenir Québec,2023,352,Hochelaga-Maisonneuve,1200,12,11,1,1100,100,0.08333333333333333,0.08333333333333333,2023-05-02
Coalition avenir Québec,2023,356,Rosemont,1020,12,8,4,775,245,0.3333333333333333,0.24019607843137256,2023-05-02
Coalition avenir Québec,2023,358,Viau,350,4,2,2,150,200,0.5,0.5714285714285714,2023-05-02
Coalition avenir Québec,2023,360,Bourassa-Sauvé,115,2,1,1,15,100,0.5,0.8695652173913043,2023-05-02
Coalition avenir Québec,2023,364,Jeanne-Mance-Viger,100,1,1,0,100,0,0,0,2023-05-02
Coalition avenir Québec,2023,366,Anjou-Louis-Riel,1675,19,14,5,1250,425,0.2631578947368421,0.2537313432835821,2023-05-02
Coalition avenir Québec,2023,370,Camille-Laurin,750,9,7,2,550,200,0.2222222222222222,0.26666666666666666,2023-05-02
Coalition avenir Québec,2023,380,Pointe-aux-Trembles,1975,22,14,8,1250,725,0.36363636363636365,0.3670886075949367,2023-05-02
Coalition avenir Québec,2023,390,LaFontaine,205,3,2,1,105,100,0.3333333333333333,0.4878048780487805,2023-05-02
Coalition avenir Québec,2023,454,Laval-des-Rapides,1170,13,9,4,850,320,0.3076923076923077,0.27350427350427353,2023-05-02
Coalition avenir Québec,2023,460,Chomedey,830,11,8,3,625,205,0.2727272727272727,0.2469879518072289,2023-05-02
Coalition avenir Québec,2023,466,Fabre,1280,14,14,0,1280,0,0,0,2023-05-02
Coalition avenir Québec,2023,470,Sainte-Rose,1122,13,9,4,820,302,0.3076923076923077,0.26916221033868093,2023-05-02
Coalition avenir Québec,2023,476,Vimont,505,9,6,3,410,95,0.3333333333333333,0.18811881188118812,2023-05-02
Coalition avenir Québec,2023,482,Mille-Îles,1000,13,10,3,900,100,0.23076923076923078,0.1,2023-05-02
Coalition avenir Québec,2023,502,Groulx,1110,14,12,2,1060,50,0.14285714285714285,0.04504504504504504,2023-05-02
Coalition avenir Québec,2023,508,Deux-Montagnes,2545,28,26,2,2345,200,0.07142857142857142,0.07858546168958742,2023-05-02
Coalition avenir Québec,2023,514,Mirabel,1950,23,20,3,1730,220,0.13043478260869565,0.11282051282051282,2023-05-02
Coalition avenir Québec,2023,520,Argenteuil,1190,17,11,6,840,350,0.35294117647058826,0.29411764705882354,2023-05-02
Coalition avenir Québec,2023,526,Saint-Jérôme,1145,13,11,2,945,200,0.15384615384615385,0.17467248908296942,2023-05-02
Coalition avenir Québec,2023,530,Les Plaines,1320,17,13,4,1145,175,0.23529411764705882,0.13257575757575757,2023-05-02
Coalition avenir Québec,2023,536,Blainville,2625,28,22,6,2100,525,0.21428571428571427,0.2,2023-05-02
Coalition avenir Québec,2023,542,Terrebonne,4120,47,31,16,2745,1375,0.3404255319148936,0.3337378640776699,2023-05-02
Coalition avenir Québec,2023,548,Masson,4180,46,36,10,3260,920,0.21739130434782608,0.22009569377990432,2023-05-02
