entite_politique,annee_financiere,co_circ,nm_circ,montant_cumulatif,donateurs,anciens_donateurs,nouveaux_donateurs,cumulatif_anciens,cumulatif_nouveaux,pct_nouveaux_donateurs,pct_cumulatif_nouveaux,date_cumulatif,diff_hier,diff_semaine
Coalition avenir Québec,2023,648,Abitibi-Est,280,5,4,1,275,5,0.2,0.01785714285714285,2023-05-29,0,0
Coalition avenir Québec,2023,642,Abitibi-Ouest,1135,14,13,1,1115,20,0.07142857142857142,0.01762114537444934,2023-05-29,0,200
Coalition avenir Québec,2023,338,Acadie,800,8,5,3,500,300,0.375,0.375,2023-05-29,0,0
Coalition avenir Québec,2023,366,Anjou-Louis-Riel,3275,38,22,16,2000,1275,0.42105263157894735,0.3893129770992366,2023-05-29,0,0
Coalition avenir Québec,2023,520,Argenteuil,2065,27,19,8,1515,550,0.2962962962962963,0.26634382566585957,2023-05-29,0,200
Coalition avenir Québec,2023,144,Arthabaska,5005,55,50,5,4655,350,0.09090909090909093,0.06993006993006994,2023-05-29,0,100
Coalition avenir Québec,2023,806,Beauce-Nord,3320,37,29,8,2690,630,0.21621621621621623,0.1897590361445783,2023-05-29,0,200
Coalition avenir Québec,2023,802,Beauce-Sud,7210,76,48,28,4435,2775,0.3684210526315789,0.38488210818307905,2023-05-29,0,240
Coalition avenir Québec,2023,218,Beauharnois,4932,56,40,16,3910,1022,0.2857142857142857,0.20721816707218169,2023-05-29,0,625
Coalition avenir Québec,2023,822,Bellechasse,1065,15,14,1,1045,20,0.06666666666666667,0.01877934272300469,2023-05-29,0,110
Coalition avenir Québec,2023,566,Berthier,1805,23,22,1,1795,10,0.04347826086956521,0.00554016620498615,2023-05-29,0,0
Coalition avenir Québec,2023,588,Bertrand,3855,47,31,16,2725,1130,0.3404255319148936,0.2931258106355383,2023-05-29,100,150
Coalition avenir Québec,2023,536,Blainville,4850,51,39,12,3725,1125,0.2352941176470588,0.23195876288659795,2023-05-29,100,375
Coalition avenir Québec,2023,850,Bonaventure,840,10,9,1,740,100,0.1,0.11904761904761904,2023-05-29,0,0
Coalition avenir Québec,2023,258,Borduas,4365,48,37,11,3480,885,0.22916666666666663,0.2027491408934708,2023-05-29,0,145
Coalition avenir Québec,2023,360,Bourassa-Sauvé,265,4,1,3,15,250,0.75,0.9433962264150944,2023-05-29,0,0
Coalition avenir Québec,2023,204,Brome-Missisquoi,4500,54,45,9,3720,780,0.16666666666666666,0.17333333333333334,2023-05-29,0,100
Coalition avenir Québec,2023,370,Camille-Laurin,1600,18,12,6,1050,550,0.3333333333333333,0.34375,2023-05-29,0,0
Coalition avenir Québec,2023,238,Chambly,3705,42,29,13,2685,1020,0.30952380952380953,0.27530364372469635,2023-05-29,0,100
Coalition avenir Québec,2023,676,Champlain,6725,75,44,31,3705,3020,0.4133333333333334,0.4490706319702602,2023-05-29,200,1700
