entite_politique,transfuges_entrants,transfuges_sortants,date
Coalition avenir Québec,76,35,2023-12-21
Parti conservateur du Québec,2,17,2023-12-21
Parti libéral du Québec,17,42,2023-12-21
Parti québécois,51,25,2023-12-21
Québec solidaire,3,30,2023-12-21
Coalition avenir Québec,76,35,2023-12-20
Parti conservateur du Québec,2,17,2023-12-20
Parti libéral du Québec,17,42,2023-12-20
Parti québécois,51,25,2023-12-20
Québec solidaire,3,30,2023-12-20
Coalition avenir Québec,76,35,2023-12-19
Parti conservateur du Québec,2,17,2023-12-19
Parti libéral du Québec,17,42,2023-12-19
Parti québécois,51,25,2023-12-19
Québec solidaire,3,30,2023-12-19
Coalition avenir Québec,76,35,2023-12-18
Parti conservateur du Québec,2,17,2023-12-18
Parti libéral du Québec,17,42,2023-12-18
Parti québécois,51,25,2023-12-18
Québec solidaire,3,30,2023-12-18
Coalition avenir Québec,76,33,2023-12-17
Parti conservateur du Québec,2,17,2023-12-17
Parti libéral du Québec,17,42,2023-12-17
Parti québécois,50,25,2023-12-17
Québec solidaire,2,30,2023-12-17
Coalition avenir Québec,76,33,2023-12-16
Parti conservateur du Québec,2,17,2023-12-16
Parti libéral du Québec,17,42,2023-12-16
Parti québécois,50,25,2023-12-16
Québec solidaire,2,30,2023-12-16
Coalition avenir Québec,76,33,2023-12-15
Parti conservateur du Québec,2,17,2023-12-15
Parti libéral du Québec,17,42,2023-12-15
Parti québécois,50,25,2023-12-15
Québec solidaire,2,30,2023-12-15
Coalition avenir Québec,76,33,2023-12-14
Parti conservateur du Québec,2,17,2023-12-14
Parti libéral du Québec,18,42,2023-12-14
Parti québécois,49,25,2023-12-14
Québec solidaire,2,30,2023-12-14
Coalition avenir Québec,76,33,2023-12-13
Parti conservateur du Québec,2,17,2023-12-13
Parti libéral du Québec,18,42,2023-12-13
Parti québécois,49,25,2023-12-13
Québec solidaire,2,30,2023-12-13
Coalition avenir Québec,76,33,2023-12-12
Parti conservateur du Québec,2,17,2023-12-12
Parti libéral du Québec,18,42,2023-12-12
Parti québécois,49,25,2023-12-12
Québec solidaire,2,30,2023-12-12
Coalition avenir Québec,76,33,2023-12-11
Parti conservateur du Québec,2,18,2023-12-11
Parti libéral du Québec,18,42,2023-12-11
Parti québécois,50,25,2023-12-11
Québec solidaire,2,30,2023-12-11
Coalition avenir Québec,75,32,2023-12-10
Parti conservateur du Québec,2,18,2023-12-10
Parti libéral du Québec,18,42,2023-12-10
Parti québécois,49,24,2023-12-10
Québec solidaire,2,30,2023-12-10
Coalition avenir Québec,76,32,2023-12-09
Parti conservateur du Québec,2,18,2023-12-09
Parti libéral du Québec,18,42,2023-12-09
Parti québécois,49,25,2023-12-09
Québec solidaire,2,30,2023-12-09
Coalition avenir Québec,76,32,2023-12-08
Parti conservateur du Québec,2,18,2023-12-08
Parti libéral du Québec,18,42,2023-12-08
Parti québécois,49,25,2023-12-08
Québec solidaire,2,30,2023-12-08
Coalition avenir Québec,77,32,2023-12-07
Parti conservateur du Québec,2,18,2023-12-07
Parti libéral du Québec,18,42,2023-12-07
Parti québécois,49,26,2023-12-07
Québec solidaire,2,30,2023-12-07
Coalition avenir Québec,76,32,2023-12-06
Parti conservateur du Québec,2,18,2023-12-06
Parti libéral du Québec,18,41,2023-12-06
Parti québécois,49,26,2023-12-06
Québec solidaire,2,30,2023-12-06
Coalition avenir Québec,72,32,2023-12-05
Parti conservateur du Québec,2,16,2023-12-05
Parti libéral du Québec,17,38,2023-12-05
Parti québécois,49,26,2023-12-05
Québec solidaire,2,30,2023-12-05
Coalition avenir Québec,72,32,2023-12-04
Parti conservateur du Québec,2,16,2023-12-04
Parti libéral du Québec,17,38,2023-12-04
Parti québécois,49,26,2023-12-04
Québec solidaire,2,30,2023-12-04
Coalition avenir Québec,72,32,2023-12-03
Parti conservateur du Québec,2,16,2023-12-03
Parti libéral du Québec,17,38,2023-12-03
Parti québécois,49,26,2023-12-03
Québec solidaire,2,30,2023-12-03
Coalition avenir Québec,71,32,2023-12-02
Parti conservateur du Québec,2,15,2023-12-02
Parti libéral du Québec,16,37,2023-12-02
Parti québécois,49,26,2023-12-02
Québec solidaire,2,30,2023-12-02
Coalition avenir Québec,71,32,2023-12-01
Parti conservateur du Québec,2,15,2023-12-01
Parti libéral du Québec,16,37,2023-12-01
Parti québécois,49,25,2023-12-01
Québec solidaire,1,30,2023-12-01
Coalition avenir Québec,71,32,2023-11-30
Parti conservateur du Québec,2,15,2023-11-30
Parti libéral du Québec,16,37,2023-11-30
Parti québécois,49,25,2023-11-30
Québec solidaire,1,30,2023-11-30
Coalition avenir Québec,71,32,2023-11-29
Parti conservateur du Québec,2,15,2023-11-29
Parti libéral du Québec,16,37,2023-11-29
Parti québécois,49,25,2023-11-29
Québec solidaire,1,30,2023-11-29
Coalition avenir Québec,69,32,2023-11-28
Parti conservateur du Québec,2,15,2023-11-28
Parti libéral du Québec,16,35,2023-11-28
Parti québécois,49,25,2023-11-28
Québec solidaire,1,30,2023-11-28
Coalition avenir Québec,69,32,2023-11-27
Parti conservateur du Québec,2,15,2023-11-27
Parti libéral du Québec,16,35,2023-11-27
Parti québécois,49,25,2023-11-27
Québec solidaire,1,30,2023-11-27
Coalition avenir Québec,69,32,2023-11-26
Parti conservateur du Québec,2,15,2023-11-26
Parti libéral du Québec,16,35,2023-11-26
Parti québécois,49,25,2023-11-26
